claim_id,policy_id,model,decision
C054,policy00_placebo,gemma-3-4b-it,APPROVE
C055,policy00_placebo,gemma-3-4b-it,APPROVE
C056,policy00_placebo,gemma-3-4b-it,APPROVE
C057,policy00_placebo,gemma-3-4b-it,APPROVE
C058,policy00_placebo,gemma-3-4b-it,APPROVE
C059,policy00_placebo,gemma-3-4b-it,DENY
C060,policy00_placebo,gemma-3-4b-it,APPROVE
C061,policy00_placebo,gemma-3-4b-it,APPROVE
C062,policy00_placebo,gemma-3-4b-it,APPROVE
C063,policy00_placebo,gemma-3-4b-it,APPROVE
C064,policy00_placebo,gemma-3-4b-it,APPROVE
C065,policy00_placebo,gemma-3-4b-it,APPROVE
C066,policy00_placebo,gemma-3-4b-it,APPROVE
C067,policy00_placebo,gemma-3-4b-it,APPROVE
C068,policy00_placebo,gemma-3-4b-it,APPROVE
C069,policy00_placebo,gemma-3-4b-it,APPROVE
C070,policy00_placebo,gemma-3-4b-it,APPROVE
C071,policy00_placebo,gemma-3-4b-it,APPROVE
C072,policy00_placebo,gemma-3-4b-it,APPROVE
C073,policy00_placebo,gemma-3-4b-it,APPROVE
C074,policy00_placebo,gemma-3-4b-it,APPROVE
C075,policy00_placebo,gemma-3-4b-it,APPROVE
C076,policy00_placebo,gemma-3-4b-it,APPROVE
C077,policy00_placebo,gemma-3-4b-it,APPROVE
C078,policy00_placebo,gemma-3-4b-it,APPROVE
C079,policy00_placebo,gemma-3-4b-it,NEED_MORE_INFO
C080,policy00_placebo,gemma-3-4b-it,APPROVE
C081,policy00_placebo,gemma-3-4b-it,APPROVE
C082,policy00_placebo,gemma-3-4b-it,NEED_MORE_INFO
C083,policy00_placebo,gemma-3-4b-it,APPROVE
C084,policy00_placebo,gemma-3-4b-it,APPROVE
C085,policy00_placebo,gemma-3-4b-it,APPROVE
C086,policy00_placebo,gemma-3-4b-it,APPROVE
C087,policy00_placebo,gemma-3-4b-it,APPROVE
C088,policy00_placebo,gemma-3-4b-it,APPROVE
C089,policy00_placebo,gemma-3-4b-it,APPROVE
C090,policy00_placebo,gemma-3-4b-it,APPROVE
C091,policy00_placebo,gemma-3-4b-it,DENY
C092,policy00_placebo,gemma-3-4b-it,APPROVE
C093,policy00_placebo,gemma-3-4b-it,APPROVE
C094,policy00_placebo,gemma-3-4b-it,DENY
C095,policy00_placebo,gemma-3-4b-it,APPROVE
C096,policy00_placebo,gemma-3-4b-it,APPROVE
C097,policy00_placebo,gemma-3-4b-it,APPROVE
C098,policy00_placebo,gemma-3-4b-it,APPROVE
C099,policy00_placebo,gemma-3-4b-it,APPROVE
C100,policy00_placebo,gemma-3-4b-it,APPROVE
C001,policy01_prose,gemma-3-4b-it,APPROVE
C002,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C003,policy01_prose,gemma-3-4b-it,DENY
C004,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C005,policy01_prose,gemma-3-4b-it,APPROVE
C006,policy01_prose,gemma-3-4b-it,DENY
C007,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C008,policy01_prose,gemma-3-4b-it,APPROVE
C009,policy01_prose,gemma-3-4b-it,APPROVE
C010,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C011,policy01_prose,gemma-3-4b-it,APPROVE
C012,policy01_prose,gemma-3-4b-it,APPROVE
C013,policy01_prose,gemma-3-4b-it,APPROVE
C014,policy01_prose,gemma-3-4b-it,APPROVE
C015,policy01_prose,gemma-3-4b-it,APPROVE
C016,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C017,policy01_prose,gemma-3-4b-it,APPROVE
C018,policy01_prose,gemma-3-4b-it,APPROVE
C019,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C020,policy01_prose,gemma-3-4b-it,APPROVE
C021,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C022,policy01_prose,gemma-3-4b-it,APPROVE
C023,policy01_prose,gemma-3-4b-it,APPROVE
C024,policy01_prose,gemma-3-4b-it,APPROVE
C025,policy01_prose,gemma-3-4b-it,APPROVE
C026,policy01_prose,gemma-3-4b-it,APPROVE
C027,policy01_prose,gemma-3-4b-it,APPROVE
C028,policy01_prose,gemma-3-4b-it,APPROVE
C029,policy01_prose,gemma-3-4b-it,DENY
C030,policy01_prose,gemma-3-4b-it,APPROVE
C031,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C032,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C033,policy01_prose,gemma-3-4b-it,APPROVE
C034,policy01_prose,gemma-3-4b-it,APPROVE
C035,policy01_prose,gemma-3-4b-it,APPROVE
C036,policy01_prose,gemma-3-4b-it,APPROVE
C037,policy01_prose,gemma-3-4b-it,APPROVE
C038,policy01_prose,gemma-3-4b-it,APPROVE
C039,policy01_prose,gemma-3-4b-it,APPROVE
C040,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C041,policy01_prose,gemma-3-4b-it,APPROVE
C042,policy01_prose,gemma-3-4b-it,APPROVE
C043,policy01_prose,gemma-3-4b-it,APPROVE
C044,policy01_prose,gemma-3-4b-it,APPROVE
C045,policy01_prose,gemma-3-4b-it,APPROVE
C046,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C047,policy01_prose,gemma-3-4b-it,APPROVE
C048,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C049,policy01_prose,gemma-3-4b-it,APPROVE
C050,policy01_prose,gemma-3-4b-it,APPROVE
C051,policy01_prose,gemma-3-4b-it,APPROVE
C052,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C053,policy01_prose,gemma-3-4b-it,APPROVE
C054,policy01_prose,gemma-3-4b-it,APPROVE
C055,policy01_prose,gemma-3-4b-it,APPROVE
C056,policy01_prose,gemma-3-4b-it,APPROVE
C057,policy01_prose,gemma-3-4b-it,APPROVE
C058,policy01_prose,gemma-3-4b-it,APPROVE
C059,policy01_prose,gemma-3-4b-it,DENY
C060,policy01_prose,gemma-3-4b-it,APPROVE
C061,policy01_prose,gemma-3-4b-it,APPROVE
C062,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C063,policy01_prose,gemma-3-4b-it,APPROVE
C064,policy01_prose,gemma-3-4b-it,APPROVE
C065,policy01_prose,gemma-3-4b-it,APPROVE
C066,policy01_prose,gemma-3-4b-it,APPROVE
C067,policy01_prose,gemma-3-4b-it,APPROVE
C068,policy01_prose,gemma-3-4b-it,APPROVE
C069,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C070,policy01_prose,gemma-3-4b-it,APPROVE
C071,policy01_prose,gemma-3-4b-it,APPROVE
C072,policy01_prose,gemma-3-4b-it,APPROVE
C073,policy01_prose,gemma-3-4b-it,APPROVE
C074,policy01_prose,gemma-3-4b-it,APPROVE
C075,policy01_prose,gemma-3-4b-it,APPROVE
C076,policy01_prose,gemma-3-4b-it,APPROVE
C077,policy01_prose,gemma-3-4b-it,APPROVE
C078,policy01_prose,gemma-3-4b-it,APPROVE
C079,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C080,policy01_prose,gemma-3-4b-it,APPROVE
C081,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C082,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C083,policy01_prose,gemma-3-4b-it,APPROVE
C084,policy01_prose,gemma-3-4b-it,APPROVE
C085,policy01_prose,gemma-3-4b-it,APPROVE
C086,policy01_prose,gemma-3-4b-it,APPROVE
C087,policy01_prose,gemma-3-4b-it,APPROVE
C088,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C089,policy01_prose,gemma-3-4b-it,APPROVE
C090,policy01_prose,gemma-3-4b-it,APPROVE
C091,policy01_prose,gemma-3-4b-it,DENY
C092,policy01_prose,gemma-3-4b-it,APPROVE
C093,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C094,policy01_prose,gemma-3-4b-it,NEED_MORE_INFO
C095,policy01_prose,gemma-3-4b-it,APPROVE
C096,policy01_prose,gemma-3-4b-it,APPROVE
C097,policy01_prose,gemma-3-4b-it,APPROVE
C098,policy01_prose,gemma-3-4b-it,APPROVE
C099,policy01_prose,gemma-3-4b-it,APPROVE
C100,policy01_prose,gemma-3-4b-it,APPROVE
C001,policy02_bullets,gemma-3-4b-it,APPROVE
C002,policy02_bullets,gemma-3-4b-it,DENY
C003,policy02_bullets,gemma-3-4b-it,DENY
C004,policy02_bullets,gemma-3-4b-it,NEED_MORE_INFO
C005,policy02_bullets,gemma-3-4b-it,APPROVE
C006,policy02_bullets,gemma-3-4b-it,DENY
C007,policy02_bullets,gemma-3-4b-it,DENY
C008,policy02_bullets,gemma-3-4b-it,APPROVE
C009,policy02_bullets,gemma-3-4b-it,APPROVE
C010,policy02_bullets,gemma-3-4b-it,NEED_MORE_INFO
C011,policy02_bullets,gemma-3-4b-it,APPROVE
C012,policy02_bullets,gemma-3-4b-it,APPROVE
C013,policy02_bullets,gemma-3-4b-it,DENY
C014,policy02_bullets,gemma-3-4b-it,APPROVE
C015,policy02_bullets,gemma-3-4b-it,APPROVE
C016,policy02_bullets,gemma-3-4b-it,DENY
C017,policy02_bullets,gemma-3-4b-it,APPROVE
C018,policy02_bullets,gemma-3-4b-it,APPROVE
C019,policy02_bullets,gemma-3-4b-it,NEED_MORE_INFO
C020,policy02_bullets,gemma-3-4b-it,APPROVE
C021,policy02_bullets,gemma-3-4b-it,DENY
C022,policy02_bullets,gemma-3-4b-it,APPROVE
C023,policy02_bullets,gemma-3-4b-it,DENY
C024,policy02_bullets,gemma-3-4b-it,APPROVE
C025,policy02_bullets,gemma-3-4b-it,APPROVE
C026,policy02_bullets,gemma-3-4b-it,DENY
C027,policy02_bullets,gemma-3-4b-it,APPROVE
C028,policy02_bullets,gemma-3-4b-it,DENY
C029,policy02_bullets,gemma-3-4b-it,DENY
C030,policy02_bullets,gemma-3-4b-it,NEED_MORE_INFO
C031,policy02_bullets,gemma-3-4b-it,DENY
C032,policy02_bullets,gemma-3-4b-it,NEED_MORE_INFO
C033,policy02_bullets,gemma-3-4b-it,DENY
C034,policy02_bullets,gemma-3-4b-it,APPROVE
C035,policy02_bullets,gemma-3-4b-it,APPROVE
C036,policy02_bullets,gemma-3-4b-it,APPROVE
C037,policy02_bullets,gemma-3-4b-it,DENY
C038,policy02_bullets,gemma-3-4b-it,APPROVE
C039,policy02_bullets,gemma-3-4b-it,DENY
C040,policy02_bullets,gemma-3-4b-it,DENY
C041,policy02_bullets,gemma-3-4b-it,DENY
C042,policy02_bullets,gemma-3-4b-it,APPROVE
C043,policy02_bullets,gemma-3-4b-it,APPROVE
C044,policy02_bullets,gemma-3-4b-it,APPROVE
C045,policy02_bullets,gemma-3-4b-it,DENY
C046,policy02_bullets,gemma-3-4b-it,DENY
C047,policy02_bullets,gemma-3-4b-it,APPROVE
C048,policy02_bullets,gemma-3-4b-it,NEED_MORE_INFO
C049,policy02_bullets,gemma-3-4b-it,APPROVE
C050,policy02_bullets,gemma-3-4b-it,DENY
C051,policy02_bullets,gemma-3-4b-it,APPROVE
C052,policy02_bullets,gemma-3-4b-it,NEED_MORE_INFO
C053,policy02_bullets,gemma-3-4b-it,DENY
C054,policy02_bullets,gemma-3-4b-it,DENY
C055,policy02_bullets,gemma-3-4b-it,NEED_MORE_INFO
C056,policy02_bullets,gemma-3-4b-it,APPROVE
C057,policy02_bullets,gemma-3-4b-it,DENY
C058,policy02_bullets,gemma-3-4b-it,APPROVE
C059,policy02_bullets,gemma-3-4b-it,DENY
C060,policy02_bullets,gemma-3-4b-it,DENY
C061,policy02_bullets,gemma-3-4b-it,DENY
C062,policy02_bullets,gemma-3-4b-it,DENY
C063,policy02_bullets,gemma-3-4b-it,APPROVE
C064,policy02_bullets,gemma-3-4b-it,DENY
C065,policy02_bullets,gemma-3-4b-it,DENY
C066,policy02_bullets,gemma-3-4b-it,DENY
C067,policy02_bullets,gemma-3-4b-it,DENY
C068,policy02_bullets,gemma-3-4b-it,DENY
C069,policy02_bullets,gemma-3-4b-it,NEED_MORE_INFO
C070,policy02_bullets,gemma-3-4b-it,DENY
C071,policy02_bullets,gemma-3-4b-it,DENY
C072,policy02_bullets,gemma-3-4b-it,APPROVE
C073,policy02_bullets,gemma-3-4b-it,DENY
C074,policy02_bullets,gemma-3-4b-it,APPROVE
C075,policy02_bullets,gemma-3-4b-it,APPROVE
C076,policy02_bullets,gemma-3-4b-it,APPROVE
C077,policy02_bullets,gemma-3-4b-it,APPROVE
C078,policy02_bullets,gemma-3-4b-it,APPROVE
C079,policy02_bullets,gemma-3-4b-it,DENY
C080,policy02_bullets,gemma-3-4b-it,APPROVE
C081,policy02_bullets,gemma-3-4b-it,DENY
C082,policy02_bullets,gemma-3-4b-it,NEED_MORE_INFO
C083,policy02_bullets,gemma-3-4b-it,DENY
C084,policy02_bullets,gemma-3-4b-it,DENY
C085,policy02_bullets,gemma-3-4b-it,APPROVE
C086,policy02_bullets,gemma-3-4b-it,DENY
C087,policy02_bullets,gemma-3-4b-it,APPROVE
C088,policy02_bullets,gemma-3-4b-it,DENY
C089,policy02_bullets,gemma-3-4b-it,DENY
C090,policy02_bullets,gemma-3-4b-it,DENY
C091,policy02_bullets,gemma-3-4b-it,DENY
C092,policy02_bullets,gemma-3-4b-it,APPROVE
C093,policy02_bullets,gemma-3-4b-it,DENY
C094,policy02_bullets,gemma-3-4b-it,DENY
C095,policy02_bullets,gemma-3-4b-it,NEED_MORE_INFO
C096,policy02_bullets,gemma-3-4b-it,DENY
C097,policy02_bullets,gemma-3-4b-it,APPROVE
C098,policy02_bullets,gemma-3-4b-it,DENY
C099,policy02_bullets,gemma-3-4b-it,APPROVE
C100,policy02_bullets,gemma-3-4b-it,APPROVE
C001,policy03_decision_tree,gemma-3-4b-it,APPROVE
C002,policy03_decision_tree,gemma-3-4b-it,APPROVE
C003,policy03_decision_tree,gemma-3-4b-it,DENY
C004,policy03_decision_tree,gemma-3-4b-it,NEED_MORE_INFO
C005,policy03_decision_tree,gemma-3-4b-it,APPROVE
C006,policy03_decision_tree,gemma-3-4b-it,DENY
C007,policy03_decision_tree,gemma-3-4b-it,DENY
C008,policy03_decision_tree,gemma-3-4b-it,APPROVE
C009,policy03_decision_tree,gemma-3-4b-it,APPROVE
C010,policy03_decision_tree,gemma-3-4b-it,NEED_MORE_INFO
C011,policy03_decision_tree,gemma-3-4b-it,APPROVE
C012,policy03_decision_tree,gemma-3-4b-it,APPROVE
C013,policy03_decision_tree,gemma-3-4b-it,APPROVE
C014,policy03_decision_tree,gemma-3-4b-it,APPROVE
C015,policy03_decision_tree,gemma-3-4b-it,APPROVE
C016,policy03_decision_tree,gemma-3-4b-it,APPROVE
C017,policy03_decision_tree,gemma-3-4b-it,APPROVE
C018,policy03_decision_tree,gemma-3-4b-it,APPROVE
C019,policy03_decision_tree,gemma-3-4b-it,NEED_MORE_INFO
C020,policy03_decision_tree,gemma-3-4b-it,APPROVE
C021,policy03_decision_tree,gemma-3-4b-it,DENY
C022,policy03_decision_tree,gemma-3-4b-it,APPROVE
C023,policy03_decision_tree,gemma-3-4b-it,APPROVE
C024,policy03_decision_tree,gemma-3-4b-it,APPROVE
C025,policy03_decision_tree,gemma-3-4b-it,APPROVE
C026,policy03_decision_tree,gemma-3-4b-it,APPROVE
C027,policy03_decision_tree,gemma-3-4b-it,APPROVE
C028,policy03_decision_tree,gemma-3-4b-it,DENY
C029,policy03_decision_tree,gemma-3-4b-it,DENY
C030,policy03_decision_tree,gemma-3-4b-it,APPROVE
C031,policy03_decision_tree,gemma-3-4b-it,APPROVE
C032,policy03_decision_tree,gemma-3-4b-it,NEED_MORE_INFO
C033,policy03_decision_tree,gemma-3-4b-it,APPROVE
C034,policy03_decision_tree,gemma-3-4b-it,APPROVE
C035,policy03_decision_tree,gemma-3-4b-it,APPROVE
C036,policy03_decision_tree,gemma-3-4b-it,APPROVE
C037,policy03_decision_tree,gemma-3-4b-it,APPROVE
C038,policy03_decision_tree,gemma-3-4b-it,APPROVE
C039,policy03_decision_tree,gemma-3-4b-it,APPROVE
C040,policy03_decision_tree,gemma-3-4b-it,APPROVE
C041,policy03_decision_tree,gemma-3-4b-it,APPROVE
C042,policy03_decision_tree,gemma-3-4b-it,APPROVE
C043,policy03_decision_tree,gemma-3-4b-it,APPROVE
C044,policy03_decision_tree,gemma-3-4b-it,APPROVE
C045,policy03_decision_tree,gemma-3-4b-it,APPROVE
C046,policy03_decision_tree,gemma-3-4b-it,APPROVE
C047,policy03_decision_tree,gemma-3-4b-it,APPROVE
C048,policy03_decision_tree,gemma-3-4b-it,NEED_MORE_INFO
C049,policy03_decision_tree,gemma-3-4b-it,APPROVE
C050,policy03_decision_tree,gemma-3-4b-it,APPROVE
C051,policy03_decision_tree,gemma-3-4b-it,APPROVE
C052,policy03_decision_tree,gemma-3-4b-it,NEED_MORE_INFO
C053,policy03_decision_tree,gemma-3-4b-it,APPROVE
C054,policy03_decision_tree,gemma-3-4b-it,APPROVE
C055,policy03_decision_tree,gemma-3-4b-it,APPROVE
C056,policy03_decision_tree,gemma-3-4b-it,APPROVE
C057,policy03_decision_tree,gemma-3-4b-it,APPROVE
C058,policy03_decision_tree,gemma-3-4b-it,APPROVE
C059,policy03_decision_tree,gemma-3-4b-it,DENY
C060,policy03_decision_tree,gemma-3-4b-it,APPROVE
C061,policy03_decision_tree,gemma-3-4b-it,APPROVE
C062,policy03_decision_tree,gemma-3-4b-it,APPROVE
C063,policy03_decision_tree,gemma-3-4b-it,APPROVE
C064,policy03_decision_tree,gemma-3-4b-it,APPROVE
C065,policy03_decision_tree,gemma-3-4b-it,APPROVE
C066,policy03_decision_tree,gemma-3-4b-it,APPROVE
C067,policy03_decision_tree,gemma-3-4b-it,APPROVE
C068,policy03_decision_tree,gemma-3-4b-it,APPROVE
C069,policy03_decision_tree,gemma-3-4b-it,NEED_MORE_INFO
C070,policy03_decision_tree,gemma-3-4b-it,APPROVE
C071,policy03_decision_tree,gemma-3-4b-it,APPROVE
C072,policy03_decision_tree,gemma-3-4b-it,APPROVE
C073,policy03_decision_tree,gemma-3-4b-it,APPROVE
C074,policy03_decision_tree,gemma-3-4b-it,APPROVE
C075,policy03_decision_tree,gemma-3-4b-it,APPROVE
C076,policy03_decision_tree,gemma-3-4b-it,APPROVE
C077,policy03_decision_tree,gemma-3-4b-it,APPROVE
C078,policy03_decision_tree,gemma-3-4b-it,APPROVE
C079,policy03_decision_tree,gemma-3-4b-it,APPROVE
C080,policy03_decision_tree,gemma-3-4b-it,APPROVE
C081,policy03_decision_tree,gemma-3-4b-it,APPROVE
C082,policy03_decision_tree,gemma-3-4b-it,NEED_MORE_INFO
C083,policy03_decision_tree,gemma-3-4b-it,APPROVE
C084,policy03_decision_tree,gemma-3-4b-it,APPROVE
C085,policy03_decision_tree,gemma-3-4b-it,APPROVE
C086,policy03_decision_tree,gemma-3-4b-it,APPROVE
C087,policy03_decision_tree,gemma-3-4b-it,APPROVE
C088,policy03_decision_tree,gemma-3-4b-it,APPROVE
C089,policy03_decision_tree,gemma-3-4b-it,APPROVE
C090,policy03_decision_tree,gemma-3-4b-it,APPROVE
C091,policy03_decision_tree,gemma-3-4b-it,DENY
C092,policy03_decision_tree,gemma-3-4b-it,APPROVE
C093,policy03_decision_tree,gemma-3-4b-it,APPROVE
C094,policy03_decision_tree,gemma-3-4b-it,APPROVE
C095,policy03_decision_tree,gemma-3-4b-it,APPROVE
C096,policy03_decision_tree,gemma-3-4b-it,APPROVE
C097,policy03_decision_tree,gemma-3-4b-it,APPROVE
C098,policy03_decision_tree,gemma-3-4b-it,APPROVE
C099,policy03_decision_tree,gemma-3-4b-it,APPROVE
C100,policy03_decision_tree,gemma-3-4b-it,APPROVE
C001,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C002,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C003,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C004,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C005,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C006,policy04_bias_emphasis,gemma-3-4b-it,DENY
C007,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C008,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C009,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C010,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C011,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C012,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C013,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C014,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C015,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C016,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C017,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C018,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C019,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C020,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C021,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C022,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C023,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C024,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C025,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C026,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C027,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C028,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C029,policy04_bias_emphasis,gemma-3-4b-it,DENY
C030,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C031,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C032,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C033,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C034,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C035,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C036,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C037,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C038,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C039,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C040,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C041,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C042,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C043,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C044,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C045,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C046,policy04_bias_emphasis,gemma-3-4b-it,DENY
C047,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C048,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C049,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C050,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C051,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C052,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C053,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C054,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C055,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C056,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C057,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C058,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C059,policy04_bias_emphasis,gemma-3-4b-it,DENY
C060,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C061,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C062,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C063,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C064,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C065,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C066,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C067,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C068,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C069,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C070,policy04_bias_emphasis,gemma-3-4b-it,NEED_MORE_INFO
C071,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C072,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C073,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C074,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
C075,policy04_bias_emphasis,gemma-3-4b-it,APPROVE
